,Text,Created_at,neg,neu,pos,compound,sentiment,top_10_only
0," @rightsatbirth: ""what he did was manipulative, dishonest, and coercive. coerced sex isn2\x80\x99t consensual sex, it is sexual assault. the burd2\x806'",2019-10-16 22:33:00,0.455,0.545,0.0,-0.875,negative,{'sexual'}
1,"happy 94th birthday\0\x9f\x8e\x82 to @_angelalansbury  bedknobs &amp; broomsticks is still one of my favorite movies.\n\nhere's hoping2\x806 https://t.co/c24mvhyxjl""",2019-10-16 22:33:00,0.0,0.717,0.283,0.7717,positive,set()
2," @reploritrahan: two years ago #metoo woke up our nation. it's become part of our national consciousness, demanding better for survivors2\x806""",2019-10-16 22:33:00,0.107,0.73,0.163,0.25,positive,"{'two', 'years'}"
3, @ritug15: #timesup #metoovoter  #mentoo #metoo #brexit #wednesdaywisdom \ntime has come that laws should be amended so that rampant fake2\x806',2019-10-16 22:33:00,0.0,1.0,0.0,0.0,neutral,set()
4," @ambertamblyn: months before metoo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed i2\x806'",2019-10-16 22:33:00,0.189,0.811,0.0,-0.4215,negative,{'metoo'}
5, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:33:00,0.181,0.819,0.0,-0.4767,negative,set()
6,child advocate weighs in on new london school sex abuse investigation - nbc connecticut https://t.co/yyx7ufzcdo2\x806 https://t.co/vxul7evxdp',2019-10-16 22:33:00,0.219,0.781,0.0,-0.6369,negative,set()
7," @rightsatbirth: ""what he did was manipulative, dishonest, and coercive. coerced sex isn2\x80\x99t consensual sex, it is sexual assault. the burd2\x806'",2019-10-16 22:32:00,0.455,0.545,0.0,-0.875,negative,{'sexual'}
8, @socialiststeve6: i would instead tell my 2 daughters . . . \n\nduring the time of the #metoo movement it is very very very very very very2\x806',2019-10-16 22:32:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
9," @queerministry: whether queer in sexuality, gender, culture or  creed: help queer ministry uplift your community in love. we believe fai2\x806'",2019-10-16 22:32:00,0.0,0.67,0.33,0.7845,positive,set()
10,#metoo and me too https://t.co/yrcnghz3ia',2019-10-16 22:31:00,0.0,1.0,0.0,0.0,neutral,set()
11," @ggbrokensilence: @rachelintheoc i'm not surprised either. every so often one of these threads pops up like a mini-metoo moment, and gen2\x806""",2019-10-16 22:31:00,0.0,0.747,0.253,0.5267,positive,set()
12, @tba2012: left wing success is a shit hole to the rest of us #metoo #metoomovement #samich #maga #blexit #walkaway #webuildthewall #kag2\x806',2019-10-16 22:31:00,0.169,0.657,0.174,0.0258,positive,set()
13, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:31:00,0.181,0.819,0.0,-0.4767,negative,set()
14, @heyyguido: can we please move away from focusing so much on health care in the next debate. we all know where they stand by now.\nwe wan2\x806',2019-10-16 22:31:00,0.0,0.703,0.297,0.6705,positive,set()
15," @irenewoodbury: jen &amp; colton + brandi &amp; matt + zane = non-stop drama ! pop-out girl.  at #tatteredcover book stores, denver.\n#greatreads2\x806'",2019-10-16 22:31:00,0.109,0.891,0.0,-0.296,negative,set()
16," @davidgsmithphd: men's current #metoo hysteria has men living in fear at work. curing men's gynophobia--abnormal fear of women--requires2\x806""",2019-10-16 22:31:00,0.399,0.601,0.0,-0.8519,negative,set()
17, @realcandaceo: i think matt lauer is a scumbag2\x80\x94 as a father and husband. but i also think his accuser2\x80\x94a 30 yr old woman who clearly exch2\x806',2019-10-16 22:31:00,0.0,0.87,0.13,0.4019,positive,set()
18,"dme1ster @kaceytron @ladygaga @ninja then cancel culture and metoo, he played this right. ahead of the curve.'",2019-10-16 22:31:00,0.149,0.672,0.179,0.1027,positive,set()
19,reillyrick in 1981??? really??? so because of something he said 40 years ago you2\x80\x99re going to chastise him? you2\x80\x99re2\x806 https://t.co/khotle8vyu',2019-10-16 22:30:00,0.171,0.829,0.0,-0.5423,negative,{'years'}
20," @lisabritton: during this time of metoo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",2019-10-16 22:30:00,0.0,0.833,0.167,0.2023,positive,set()
21, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:30:00,0.181,0.819,0.0,-0.4767,negative,set()
22,".@mcdonalds, it is your responsibility to take real steps to ensure safe workplaces. you2\x80\x99re making our need for uni2\x806 https://t.co/k2ghpvcgdz'",2019-10-16 22:30:00,0.0,0.732,0.268,0.6705,positive,set()
23, @ritug15: #timesup #metoovoter  #mentoo #metoo #brexit #wednesdaywisdom \ntime has come that laws should be amended so that rampant fake2\x806',2019-10-16 22:30:00,0.0,1.0,0.0,0.0,neutral,set()
24, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:30:00,0.181,0.819,0.0,-0.4767,negative,set()
25,"b""@rachelintheoc i'm not surprised either. every so often one of these threads pops up like a mini-metoo moment, and2\x806 https://t.co/bphxccjexn""",2019-10-16 22:29:00,0.0,0.761,0.239,0.5267,positive,set()
26," @davidgsmithphd: men's current #metoo hysteria has men living in fear at work. curing men's gynophobia--abnormal fear of women--requires2\x806""",2019-10-16 22:29:00,0.399,0.601,0.0,-0.8519,negative,set()
27,and what if\nafter all that\nwomen still wanted you\nto love them.\n\ncarol diehl. \n#metoo #caroldiehl',2019-10-16 22:29:00,0.0,0.682,0.318,0.6369,positive,set()
28," @lisabritton: during this time of metoo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",2019-10-16 22:29:00,0.0,0.833,0.167,0.2023,positive,set()
29, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:29:00,0.181,0.819,0.0,-0.4767,negative,set()
30, @azbrodsky: i mean i guess this is just all the #metoo backlash in a nutshell \n\nus: we think it is bad that there exist rapists and hara2\x806',2019-10-16 22:29:00,0.415,0.585,0.0,-0.8316,negative,set()
31, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:29:00,0.181,0.819,0.0,-0.4767,negative,set()
32," @artonfurniture: #metoo #feminist #trudeaubrownface \nyou can't pretend to support anything if your the one doing it.\ntime to let this ma2\x806""",2019-10-16 22:28:00,0.093,0.728,0.179,0.3182,positive,set()
33,learn how to combat #humantrafficking as a healthcare provider. symposium in atlanta in conjunction with 2\x816@msmedu2\x8192\x806 https://t.co/os5w9b7gt8',2019-10-16 22:28:00,0.156,0.844,0.0,-0.34,negative,set()
34," @astroterf: where's the #metoo movement on that one?  crickets.  buncha friggin hypocrites. https://t.co/pglsnuglyn""",2019-10-16 22:28:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
35,"reducing access to appropriately gendered spaces to a matter of ""affirmation"" rather than safety has the same energ2\x806 https://t.co/2hscuon6vw'",2019-10-16 22:28:00,0.0,0.738,0.262,0.4404,positive,set()
36, @realcandaceo: i think matt lauer is a scumbag2\x80\x94 as a father and husband. but i also think his accuser2\x80\x94a 30 yr old woman who clearly exch2\x806',2019-10-16 22:28:00,0.0,0.87,0.13,0.4019,positive,set()
37," @readmorescience: a very courageous individual has asked me to share an anonymous, open letter about sexual assault. i am humbled to use2\x806'",2019-10-16 22:28:00,0.196,0.515,0.289,0.2023,positive,{'sexual'}
38,attorney joyce smithey will be speaking at a presentation focused on strategies for the early stages of representin2\x806 https://t.co/6yi3dl8hbc',2019-10-16 22:28:00,0.0,0.822,0.178,0.3818,positive,set()
39, @theview: actress and #metoo activist @alyssa_milano opens up about why she went public with her sexual assault story 25 years later: 2\x80\x9ci2\x806',2019-10-16 22:28:00,0.202,0.798,0.0,-0.5859,negative,"{'years', 'sexual'}"
40," @queerministry: whether queer in sexuality, gender, culture or  creed: help queer ministry uplift your community in love. we believe fai2\x806'",2019-10-16 22:28:00,0.0,0.67,0.33,0.7845,positive,set()
41, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:28:00,0.181,0.819,0.0,-0.4767,negative,set()
42," @readmorescience: a very courageous individual has asked me to share an anonymous, open letter about sexual assault. i am humbled to use2\x806'",2019-10-16 22:27:00,0.196,0.515,0.289,0.2023,positive,{'sexual'}
43," @arbitraryalison: is there a list somewhere of male celebrities that aren't scum? i feel like it would be short and growing shorter ever2\x806""",2019-10-16 22:27:00,0.0,0.741,0.259,0.4939,positive,set()
44,cbsthismorning @ronanfarrow @gayleking a day later and i am still offended by your snarky attitude towards pulitze2\x806 https://t.co/eu0exsl90g',2019-10-16 22:27:00,0.133,0.867,0.0,-0.25,negative,set()
45, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:27:00,0.181,0.819,0.0,-0.4767,negative,set()
46,"b""where's the #metoo movement on that one?  crickets.  buncha friggin hypocrites. https://t.co/pglsnuglyn""",2019-10-16 22:27:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
47," @ambertamblyn: months before metoo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed i2\x806'",2019-10-16 22:27:00,0.189,0.811,0.0,-0.4215,negative,{'metoo'}
48,"annasproul @rachsyme thank you.  this does not read like any women i know.  i mean, the way it was written was so.2\x806 https://t.co/ak77uog3jo'",2019-10-16 22:27:00,0.0,0.688,0.312,0.6124,positive,{'women'}
49," @underground_: 'george w. bush went into another country, caused mass chaos that they2\x80\x99re still dealing with, over a million deaths...i2\x806""",2019-10-16 22:26:00,0.188,0.812,0.0,-0.5719,negative,set()
50," @translawcenter: trans women and femmes are among the most vulnerable to sexual violence, including from the police. #metoo\n\nhttps://t.c2\x806'",2019-10-16 22:26:00,0.353,0.647,0.0,-0.7184,negative,"{'sexual', 'women'}"
51,"b""is there a list somewhere of male celebrities that aren't scum? i feel like it would be short and growing shorter e2\x806 https://t.co/2ajpmfqhox""",2019-10-16 22:26:00,0.0,0.741,0.259,0.4939,positive,set()
52," @readmorescience: a very courageous individual has asked me to share an anonymous, open letter about sexual assault. i am humbled to use2\x806'",2019-10-16 22:26:00,0.196,0.515,0.289,0.2023,positive,{'sexual'}
53," @signiavc: our portfolio company @helloalice just pioneered a new way to oust offending board members. \n\npresident @elizabethgore said,2\x806'",2019-10-16 22:26:00,0.191,0.809,0.0,-0.5106,negative,set()
54," @reuters: two years after a sexual harassment scandal roiled hollywood, the industry is taking a new approach to on-camera sex scenes wi2\x806'",2019-10-16 22:26:00,0.299,0.701,0.0,-0.7506,negative,"{'two', 'years', 'sexual'}"
55,"""what he did was manipulative, dishonest, and coercive. coerced sex isn2\x80\x99t consensual sex, it is sexual assault. the2\x806 https://t.co/crjvkylaxf'",2019-10-16 22:26:00,0.435,0.565,0.0,-0.875,negative,{'sexual'}
56," @lisacybaniak: shifting from a #survivor of #abuse to a #warrior because of your abuse, is possible. i can show you the 3 steps i used t2\x806'",2019-10-16 22:26:00,0.444,0.423,0.132,-0.7845,negative,set()
57, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:25:00,0.181,0.819,0.0,-0.4767,negative,set()
58, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:25:00,0.181,0.819,0.0,-0.4767,negative,set()
59,"b""i've done scholarly stuff as well! here's my most recent forthcoming piece about #metoo and carceral politics:\n\nhttps://t.co/ti1kqjoukc""",2019-10-16 22:25:00,0.0,0.84,0.16,0.2732,positive,set()
60," @lisabritton: during this time of metoo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",2019-10-16 22:25:00,0.0,0.833,0.167,0.2023,positive,set()
61,rebeccaoldroyd2 we have to keep pressing!!  we can prosecute these liars &amp; destroyers (until statue of limitations2\x806 https://t.co/vycaxtxjqv',2019-10-16 22:25:00,0.511,0.489,0.0,-0.8555,negative,set()
62,"molly ivins: ""holding people to contempt and ridicule is what i do."" #metoo'",2019-10-16 22:25:00,0.576,0.424,0.0,-0.7783,negative,set()
63, @jodikantor: this story by @lisaxmiller goes in my personal canon of the very best #metoo writing. stay until the end. https://t.co/fod92\x806',2019-10-16 22:25:00,0.0,0.756,0.244,0.6369,positive,set()
64,thestyleprince yeah #metoo',2019-10-16 22:25:00,0.0,0.476,0.524,0.296,positive,set()
65,"whether queer in sexuality, gender, culture or  creed: help queer ministry uplift your community in love. we believ2\x806 https://t.co/yyqqdizcww'",2019-10-16 22:25:00,0.0,0.67,0.33,0.7845,positive,set()
66, @kelsey_caine: .@time magazine interviewed me about confronting my attacker &amp; convincing him to advocate for sexual assault education wi2\x806',2019-10-16 22:25:00,0.417,0.459,0.124,-0.7506,negative,{'sexual'}
67, @tba2012: left wing success is a shit hole to the rest of us #metoo #metoomovement #samich #maga #blexit #walkaway #webuildthewall #kag2\x806',2019-10-16 22:25:00,0.169,0.657,0.174,0.0258,positive,set()
68, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:24:00,0.181,0.819,0.0,-0.4767,negative,set()
69," @underground_: 'george w. bush went into another country, caused mass chaos that they2\x80\x99re still dealing with, over a million deaths...i2\x806""",2019-10-16 22:24:00,0.188,0.812,0.0,-0.5719,negative,set()
70,"episode 80 - best practices for investigation of allegations of sexual misconduct in the #metoo era - corruption,2\x8062\x806 https://t.co/vfsps3e2nv'",2019-10-16 22:24:00,0.0,0.756,0.244,0.6369,positive,{'sexual'}
71," @hrw: 2\x80\x9cit2\x80\x99s been a long time coming, but a change is going to come2\x80\x9d\n \nmarking 2 years of the #metoo movement going viral, \n@hrw speaks w2\x806'",2019-10-16 22:23:00,0.0,1.0,0.0,0.0,neutral,"{'years', 'movement'}"
72,"b""turns out doing this is potentially  sexually stimulating\n\nam i about to get #metoo'd  by the bird community or what""",2019-10-16 22:23:00,0.0,0.734,0.266,0.4404,positive,set()
73,msu pilots new sexual assault prevention training for local bars - msutoday https://t.co/rb9axrmbng #metoo https://t.co/yagkadgevi',2019-10-16 22:23:00,0.213,0.787,0.0,-0.5859,negative,{'sexual'}
74,alyssa milano on why she chose to share her #metoo story 25 years later - abc news https://t.co/dyojlcnnfr #metoo https://t.co/yfyvv59poz',2019-10-16 22:23:00,0.0,0.864,0.136,0.296,positive,{'years'}
75,"b""wanted: intimacy coordinators. hollywood's fastest growing job https://t.co/w1gjvehti3""",2019-10-16 22:23:00,0.0,0.825,0.175,0.1779,positive,set()
76," @thehazelhayes: two older women at the table next to me complaining about the #metoo movement. apparently, 2\x80\x9cthose girls got something in2\x806'",2019-10-16 22:23:00,0.101,0.899,0.0,-0.2023,negative,"{'two', 'women'}"
77,chrismoore1204 exactly. #metoo movement got all these lying ass sluts trying to cash in on one night stands that t2\x806 https://t.co/amaewc5dfk',2019-10-16 22:23:00,0.449,0.551,0.0,-0.891,negative,{'movement'}
78, @4americankat: what it2\x80\x99s become is an evil tool of the left to take out political opponents or anyone who challenges their power &amp; autho2\x806',2019-10-16 22:22:00,0.213,0.725,0.063,-0.6249,negative,set()
79,file a sexual harassment suit on jeff zucker and #corruptcnn the guy2\x80\x99s a real bastard. he2\x80\x99s no better than weinstei2\x806 https://t.co/x6ufunbdpk',2019-10-16 22:22:00,0.26,0.632,0.108,-0.6249,negative,{'sexual'}
80, @realcandaceo: reading matt lauer2\x80\x99s accuser2\x80\x99s story &amp; it2\x80\x99s everything i hate about the #metoo movement. she admits she consensually went2\x806',2019-10-16 22:22:00,0.143,0.772,0.085,-0.3612,negative,set()
81," @realcandaceo: #metoo, @hillaryclinton and the era of blameless women. https://t.co/dl8miflon8'",2019-10-16 22:22:00,0.0,0.805,0.195,0.1779,positive,set()
82, @realcandaceo: i think matt lauer is a scumbag2\x80\x94 as a father and husband. but i also think his accuser2\x80\x94a 30 yr old woman who clearly exch2\x806',2019-10-16 22:22:00,0.0,0.87,0.13,0.4019,positive,set()
83, @majesticmayaaa: dear @taranaburke this 42 year old yt guy has raped and has sexual contact with over 600 black women while being h.i.v2\x806',2019-10-16 22:22:00,0.253,0.604,0.143,-0.4588,negative,"{'sexual', 'women'}"
84,"b""harvey weinstein had 'unhealthy obsession' with final film the current war, claims director https://t.co/o1u6mceh8t""",2019-10-16 22:22:00,0.519,0.481,0.0,-0.8658,negative,set()
85,treated like meat: women in meatpacking say #metoo https://t.co/w7s0ly7qni',2019-10-16 22:22:00,0.0,0.762,0.238,0.3612,positive,{'women'}
86," @tba2012: president trump, once again, emerges as victor in 3rd dem debate #metoo #metoomovement #samich #maga #blexit #walkaway #webuil2\x806'",2019-10-16 22:21:00,0.0,1.0,0.0,0.0,neutral,set()
87,delighted to be here to hear jodi kantor and megan twohey whose reporting started the #metoo movement. ty! #vted https://t.co/pl6dzrymrz',2019-10-16 22:21:00,0.0,0.798,0.202,0.5106,positive,set()
88, @ritug15: #timesup #metoovoter  #mentoo #metoo #brexit #wednesdaywisdom \ntime has come that laws should be amended so that rampant fake2\x806',2019-10-16 22:21:00,0.0,1.0,0.0,0.0,neutral,set()
89," @ambertamblyn: months before metoo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed i2\x806'",2019-10-16 22:21:00,0.189,0.811,0.0,-0.4215,negative,{'metoo'}
90," @gottmaninst: 2\x80\x9cas a psychotherapist supporting clients with abuse histories for 15 years, i've learned that the erasure of trust in othe2\x806""",2019-10-16 22:21:00,0.196,0.514,0.29,0.25,positive,set()
91," @kenspope: ""it2\x80\x99s helpful to begin with an academic term originated at the university of oregon by prof. jennifer freyd &amp; colleagues, cal2\x806'",2019-10-16 22:20:00,0.0,0.859,0.141,0.4215,positive,set()
92,kjnz0 @ajemaineclement @coltheman1 metoo - both very talented individuals.',2019-10-16 22:20:00,0.0,0.602,0.398,0.5106,positive,{'metoo'}
93,kamalaharris @ppfa human right. if a fella were to bear a child? \n\n#metoo \n#theresistance \n#enoughisenough \n#moscowmitch',2019-10-16 22:20:00,0.0,1.0,0.0,0.0,neutral,set()
94, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:20:00,0.181,0.819,0.0,-0.4767,negative,set()
95,".@taranaburke is coming to loyola! on november 6th, at 7:30pm, tarana will share her wisdom &amp; insight regarding the2\x806 https://t.co/tr8eqdzpkl'",2019-10-16 22:20:00,0.0,0.714,0.286,0.6808,positive,set()
96," @lbbonline: #timeto reveals progress on sexual harassment in the uk industry and reveals new plans, tools and training for next year. @a2\x806'",2019-10-16 22:20:00,0.181,0.674,0.145,-0.1779,negative,{'sexual'}
97,"b""@merielmyers #metoo oops ah mean  ' me too '""",2019-10-16 22:20:00,0.0,1.0,0.0,0.0,neutral,set()
98," @activateactivsm: feds take down the world's 'largest dark web child porn marketplace' #smartnews #metoo #saveourchildren  https://t.co/2\x806""",2019-10-16 22:20:00,0.0,1.0,0.0,0.0,neutral,set()
99," @girlygirlsguide: @debralindh i've been busy writing my memoir about my #cptsd &amp; trauma story. the good news is that i only have one mor2\x806""",2019-10-16 22:20:00,0.158,0.678,0.164,0.0258,positive,set()
100,woof  https://t.co/e7m4n4eslj',2019-10-16 22:20:00,0.0,1.0,0.0,0.0,neutral,set()
101," @brianglicklich: @lamommusic @argyle232 @scottbaio @mrsscottbaio i'm sorry, stephanie.... actually, @nicoleeggert's lawyer lisa bloom to2\x806""",2019-10-16 22:20:00,0.091,0.909,0.0,-0.0772,negative,set()
102," @readmorescience: a very courageous individual has asked me to share an anonymous, open letter about sexual assault. i am humbled to use2\x806'",2019-10-16 22:20:00,0.196,0.515,0.289,0.2023,positive,{'sexual'}
103, @irenewoodbury: at the end of the day it2\x80\x99s a love story.\n#greatreads #chicklit #metoo\nhttps://t.co/fwbjotnbee',2019-10-16 22:20:00,0.0,0.741,0.259,0.6369,positive,set()
104," @ambertamblyn: months before metoo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed i2\x806'",2019-10-16 22:19:00,0.189,0.811,0.0,-0.4215,negative,{'metoo'}
105, @vennicebitch: bombshell looks so good until you realize it2\x80\x99s entirely directed and written by men and it only exists because studios ar2\x806',2019-10-16 22:19:00,0.0,0.838,0.162,0.4404,positive,set()
106, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:19:00,0.181,0.819,0.0,-0.4767,negative,set()
107, @stillupunderwea: medical device in europe. made in italy.\navailable without prescription.\n#miamistyle #miami #taxistas #tampabay #tampa2\x806',2019-10-16 22:19:00,0.0,1.0,0.0,0.0,neutral,set()
108," @newshour: the founder of #metoo is using the second anniversary of the movement to launch #metoovoter, a new effort intended to mobiliz2\x806'",2019-10-16 22:19:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
109, @d2davison: gamergate set the gold standard for metoo accusations https://t.co/n2vk6fngur via @youtube',2019-10-16 22:19:00,0.187,0.813,0.0,-0.3182,negative,{'metoo'}
110,"b""that feeling when you are too exhausted from teaching about abuse, assault, and bullying that you don't have the en2\x806 https://t.co/qho4zro7rz""",2019-10-16 22:19:00,0.689,0.239,0.072,-0.9313,negative,set()
111,i just signed this petition on organizefor with @colorofchange. will you join me? #o4 https://t.co/8gmtkxxz4m via @colorofchange',2019-10-16 22:19:00,0.0,0.784,0.216,0.296,positive,set()
112, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:18:00,0.181,0.819,0.0,-0.4767,negative,set()
113, @stillupunderwea: medical device in europe. made in italy.\navailable without prescription.\n#miamistyle #miami #taxistas #tampabay #tampa2\x806',2019-10-16 22:18:00,0.0,1.0,0.0,0.0,neutral,set()
114,"b""when voice is finally given to the voiceless, it also gives new meaning to hear! hear! there's still a very long wa2\x806 https://t.co/0fmlwjazeh""",2019-10-16 22:18:00,0.0,1.0,0.0,0.0,neutral,set()
115,nprpolitics @mysterysolvent uh-huh. this is your answer for millions screaming #dosomething?  omg*d really? \n\nif i2\x806 https://t.co/monerr6brr',2019-10-16 22:18:00,0.178,0.822,0.0,-0.3818,negative,set()
116, @4americankat: what it2\x80\x99s become is an evil tool of the left to take out political opponents or anyone who challenges their power &amp; autho2\x806',2019-10-16 22:18:00,0.213,0.725,0.063,-0.6249,negative,set()
117,medical device in europe. made in italy.\navailable without prescription.\n#miamistyle #miami #taxistas #tampabay2\x806 https://t.co/zfmrxlx3kx',2019-10-16 22:17:00,0.0,1.0,0.0,0.0,neutral,set()
118,betoorourke @billoreilly was just projecting as he made a career of making up stuff at #foxnews. in his between2\x806 https://t.co/wtcbwdf1fu',2019-10-16 22:17:00,0.0,1.0,0.0,0.0,neutral,set()
119,public school teacher charged with sexual battery ... https://t.co/j1x9cjcclz #walkaway #metoo #tennessee',2019-10-16 22:17:00,0.153,0.847,0.0,-0.2023,negative,{'sexual'}
120," @karen__cardwell: i was raised to believe the secular world was out to get you and drag you to hell. turns out, the secular world was a2\x806'",2019-10-16 22:17:00,0.394,0.606,0.0,-0.7579,negative,set()
121," @irenewoodbury: jen &amp; colton + brandi &amp; matt + zane = non-stop drama ! pop-out girl.  at #tatteredcover book stores, denver.\n#greatreads2\x806'",2019-10-16 22:17:00,0.109,0.891,0.0,-0.296,negative,set()
122, @tba2012: trump was pulling punches and being kind #metoo #metoomovement #samich #maga #blexit #walkaway #webuildthewall #kag #kag2020 #2\x806',2019-10-16 22:17:00,0.0,0.805,0.195,0.5267,positive,set()
123, @sreidocregister: update: @anaheimuhsd to pay kennedy sex abuse victims $7.9 million in case that alleged khs employees covered up abuse2\x806',2019-10-16 22:17:00,0.378,0.622,0.0,-0.7845,negative,set()
124, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:17:00,0.181,0.819,0.0,-0.4767,negative,set()
125,notagaindrryn he even added the #metoo bullshit \0\x9f43\0\x9f43\0\x9f43',2019-10-16 22:16:00,0.352,0.648,0.0,-0.5859,negative,set()
126," @francesweetman: general guidance to men talking about #metoo - don't share women's stories of assault unless you are absolutely sure th2\x806""",2019-10-16 22:16:00,0.185,0.583,0.233,-0.0018,negative,set()
127, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:16:00,0.181,0.819,0.0,-0.4767,negative,set()
128,a year ago today i wrote one of the most nerve wrecking yet freeing status2\x80\x99 ever and got the nicest message from my2\x806 https://t.co/k1ohnor7zi',2019-10-16 22:16:00,0.0,0.741,0.259,0.743,positive,set()
129,left wing success is a shit hole to the rest of us #metoo #metoomovement #samich #maga #blexit #walkaway2\x806 https://t.co/te4nn3d95u',2019-10-16 22:16:00,0.177,0.64,0.182,0.0258,positive,set()
130," @lisabritton: during this time of metoo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",2019-10-16 22:16:00,0.0,0.833,0.167,0.2023,positive,set()
131," @lisabritton: during this time of metoo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",2019-10-16 22:16:00,0.0,0.833,0.167,0.2023,positive,set()
132,helensmomma @kidslivestoo @protectnykids @gagreenberg @purplesgem @bearmanshannon @zoiefananna2 @abusestoppers2\x806 https://t.co/8erfj73jai',2019-10-16 22:16:00,0.0,1.0,0.0,0.0,neutral,set()
133,"b""let's talk about #mansplaining she speak: the undermining conversational experience of himterruption #feminism2\x806 https://t.co/2zqtm3y5xd""",2019-10-16 22:15:00,0.185,0.815,0.0,-0.3612,negative,set()
134, @tba2012: eric cartman is awesome. change my mind #metoo #metoomovement #samich #maga #blexit #walkaway #webuildthewall #kag #kag2020 #q2\x806',2019-10-16 22:15:00,0.0,0.785,0.215,0.6249,positive,set()
135," @ewarren: two years ago, #metoo started a movement2\x80\x94millions spoke out and shared their stories. i'm fighting for an america where surviv2\x806""",2019-10-16 22:15:00,0.132,0.741,0.127,-0.0258,negative,"{'two', 'years'}"
136, @tba2012: eric cartman is awesome. change my mind #metoo #metoomovement #samich #maga #blexit #walkaway #webuildthewall #kag #kag2020 #q2\x806',2019-10-16 22:15:00,0.0,0.785,0.215,0.6249,positive,set()
137, @jodikantor: this story by @lisaxmiller goes in my personal canon of the very best #metoo writing. stay until the end. https://t.co/fod92\x806',2019-10-16 22:14:00,0.0,0.756,0.244,0.6369,positive,set()
138,"b""@rachsyme i'm an older feminist than she is, maybe wasn't as hot or privileged. i feel nothing but anger about how2\x806 https://t.co/50wwrjngbs""",2019-10-16 22:14:00,0.0,0.651,0.349,0.7094,positive,set()
139,eric cartman is awesome. change my mind #metoo #metoomovement #samich #maga #blexit #walkaway #webuildthewall #kag2\x806 https://t.co/wvexuab9rm',2019-10-16 22:14:00,0.0,0.785,0.215,0.6249,positive,set()
