,Text,Created_at,neg,neu,pos,compound,sentiment,top_10_only
10614,starrybadwolf i2\x80\x99m sorry to hear that. we have to support each other. #metoo',2019-10-15 23:01:00,0.144,0.556,0.3,0.34,positive,set()
10615,"johnwdean: hat tip to christ hayes for honestly explaining how his bosses at nbc sat on ronan farrow2\x80\x99s info about harvey weinstein, mat2\x806'",2019-10-15 23:01:00,0.0,0.857,0.143,0.4588,positive,set()
10616,"repmarktakano: #metoo is a movement, not a moment. thank you to those who shared their stories. their bravery ignited a national conver2\x806'",2019-10-15 23:01:00,0.0,0.526,0.474,0.7964,positive,set()
10617,what does accountability look like in the #metoo era? https://t.co/8y4efcpzbs via @electriclit',2019-10-15 23:01:00,0.0,0.762,0.238,0.3612,positive,set()
10618,"what, you were expecting the matt lauer or harvey weinstein expos\xc39 first? @bombshellmovie #bombshellmovie https://t.co/ovupsw4zr0'",2019-10-15 23:01:00,0.0,1.0,0.0,0.0,neutral,set()
10619," @repdebdingell: two years ago #metoo changed us. it's become part of our national consciousness, demanding better for survivors and futu2\x806""",2019-10-15 23:01:00,0.107,0.73,0.163,0.25,positive,"{'two', 'years'}"
10620,"nowthisnews: 2\x80\x98when you have 12 million people respond to a hashtag in 24 hours, we have a public health crisis2\x80\x99 2\x80\x94 leaders @taranaburke,2\x806'",2019-10-15 23:01:00,0.0,1.0,0.0,0.0,neutral,set()
10621,"according to a recent survey by aau, ""about 1/4 of undergrad women say they have been victims of sexual touching or2\x806 https://t.co/pcs8t3fmrd'",2019-10-15 23:00:00,0.15,0.85,0.0,-0.3182,negative,"{'sexual', 'women'}"
10622," @mynation_mp: @hrw finally human rights watch successful in molesting men's life using fake #metoo\n90% fake cases increased with this bi2\x806""",2019-10-15 23:00:00,0.334,0.468,0.197,-0.6249,negative,set()
10623,ghostsofplumrun @mtracey i wonder if they2\x80\x99re these same group of wine moms? who cares about victims and that many2\x806 https://t.co/wvcsgzfrjn',2019-10-15 23:00:00,0.126,0.71,0.164,0.1779,positive,set()
10624,"two years after #metoo went viral, we recognize the bravery of all aapi survivors who have come forward with their2\x806 https://t.co/s2hc9tt79t'",2019-10-15 23:00:00,0.0,0.814,0.186,0.4939,positive,"{'two', 'years'}"
10625,"""i wanted to put the focus on my rapist, instead of having readers focus on me, on any perceived unreliability, on2\x806 https://t.co/o3vy9xys6v'",2019-10-15 23:00:00,0.29,0.71,0.0,-0.7096,negative,set()
10626,ajrober2 @w_terrence @elienyc i think a new #metoo movement is brewing!!  dems who joined trump 2\x9d4f\xb8\x8f',2019-10-15 22:59:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
10627,alyssa_milano: two years ago today this tweet went viral. #metoo https://t.co/lap37qt2nu',2019-10-15 22:59:00,0.0,1.0,0.0,0.0,neutral,"{'two', 'years'}"
10628,"nora4usa: on the 2nd anniversary of #metoo\xc20 going viral, @senatemajldr could have called a vote on the violence against women renewal a2\x806'",2019-10-15 22:59:00,0.227,0.773,0.0,-0.6249,negative,{'women'}
10629,"ilhan: to the silence breakers2\x80\x93tarana burke, chanel miller, aly raisman, susan fowler, gretchen carlson, ashley judd, anita hill, chris2\x806'",2019-10-15 22:59:00,0.0,1.0,0.0,0.0,neutral,set()
10630,these words from tarana burke on the movement she started are so important and provide such a useful roadmap for th2\x806 https://t.co/3oqjwyuvuf',2019-10-15 22:59:00,0.0,0.701,0.299,0.5719,positive,{'movement'}
10631,"mcmolloy7: this summer, i interviewed girls across the country who reported sexual assault or harassment to their public high schools.2\x806'",2019-10-15 22:59:00,0.378,0.622,0.0,-0.8074,negative,{'sexual'}
10632,"luxymoo: hey kai, remember when i told you my metoo story because our stories were so similar and asked you to keep it confidential, an2\x806'",2019-10-15 22:59:00,0.0,1.0,0.0,0.0,neutral,{'metoo'}
10633,"luxymoo: hey kai, remember when i told you my metoo story because our stories were so similar and asked you to keep it confidential, an2\x806'",2019-10-15 22:59:00,0.0,1.0,0.0,0.0,neutral,{'metoo'}
10634,"luxymoo: hey kai, remember when i told you my metoo story because our stories were so similar and asked you to keep it confidential, an2\x806'",2019-10-15 22:58:00,0.0,1.0,0.0,0.0,neutral,{'metoo'}
10635,wyattmartinsen: to all narcissists: you don2\x80\x99t scare me. your masks are slipping. you2\x80\x99re more exposed by the day. i see you. the world s2\x806',2019-10-15 22:58:00,0.243,0.757,0.0,-0.5423,negative,set()
10636," @betoorourke: two years ago, millions shared a hashtag, as part of a movement that changed our country. on #metoo's 2nd anniversary, let2\x806""",2019-10-15 22:58:00,0.0,0.862,0.138,0.34,positive,"{'two', 'years', 'movement'}"
10637," @kamalaharris: for years, @taranaburke led the #metoo movement. it wasn't until this day in 2017 that sexual assault survivors worldwide2\x806""",2019-10-15 22:58:00,0.241,0.759,0.0,-0.5859,negative,{'sexual'}
10638,lawsocietymb: what constitutes sexual harassment? what to do in the initial days following a complaint? how can the law society2\x80\x99s equit2\x806',2019-10-15 22:58:00,0.322,0.678,0.0,-0.6908,negative,{'sexual'}
10639,"repsylviagarcia: two years ago, the #metoo movement changed the conversation about sexual assault and survivors.\n\nwe must do everything2\x806'",2019-10-15 22:57:00,0.213,0.787,0.0,-0.5859,negative,"{'sexual', 'two', 'years', 'movement'}"
10640,"nora4usa: on the 2nd anniversary of #metoo\xc20 going viral, @senatemajldr could have called a vote on the violence against women renewal a2\x806'",2019-10-15 22:57:00,0.227,0.773,0.0,-0.6249,negative,{'women'}
10641," @domesticworkers: stories like june's are why we continue to fight for protections for all workers 2\x80\x94 and why we need the #beheard act an2\x806""",2019-10-15 22:57:00,0.144,0.718,0.138,-0.0258,negative,set()
10642,"kaceykells: ""a from the heart account of rape, from a precious young author. whether or not you or a loved one have suffered from any f2\x806'",2019-10-15 22:57:00,0.336,0.34,0.323,-0.0772,negative,set()
10643,historically accurate election forecaster predicts trump will win by even greater margin in 2020\n\nmajority of indep2\x806 https://t.co/opiflamm7h',2019-10-15 22:57:00,0.0,0.69,0.31,0.743,positive,set()
10644,"taranaburke: tonight, on the anniversary of #metoo please join us in watching the presidential debates and sharing your concerns on soc2\x806'",2019-10-15 22:57:00,0.0,0.578,0.422,0.743,positive,set()
10645,"apparently i\'m ""slutting around"" if i\'m polite, nice or helpful to someone who happens to be male. \0\x9f\x98\x92\n\n..and it does2\x806 https://t.co/acvkshtacb'",2019-10-15 22:57:00,0.0,0.714,0.286,0.6808,positive,set()
10646,chatbycc: @realdonaldtrump @cnn rumor has it2\x80\x94\n*ucker zucker has his own #metoo scandals.',2019-10-15 22:57:00,0.242,0.758,0.0,-0.4939,negative,set()
10647," @magakitten: i figured this one out guys!!! nancy can't wipe so she needs help, and the rest are there to make sure no #metoo business h2\x806""",2019-10-15 22:57:00,0.0,0.706,0.294,0.6124,positive,set()
10648," @ssaisorg: on this #metoo anniversary, let's find what the candidates are doing about rampant k-12 sexual harassment and violence using2\x806""",2019-10-15 22:57:00,0.432,0.568,0.0,-0.8225,negative,{'sexual'}
